index,label
0,Man
1,Cat
2,Dog
3,Cat
4,Hyena
5,Horse
6,Baby
7,Person
8,Cat
9,Child
10,Bird
11,Dog
12,Cat
13,Bird
14,Cat
15,Cat
16,Cat
17,Bird
18,Lamb
19,Cat
20,Horse
21,Dog
22,Duck
23,Cat
24,Sheep
25,Cat
26,Cat
27,Puppy
28,Cat
29,Horseback-riding
30,Bird
31,Horse
32,Dog
33,Person
34,Person
35,Seedlings
36,Dog
37,Bird
38,Person
39,Sheep
40,Dog
41,Foal
42,Dog
43,Cat
44,Sheep
45,Dog
46,Cat
47,Bird
48,Sheep
49,Bird
50,Dog
51,Cat
52,Dog
53,Athlete
54,Bird
55,Dog
56,Plant
57,Cat
58,Horse
59,Sports
60,Herbs
61,Bird
62,Cats
63,Cat
64,Cat
65,Dog
66,Lamb
67,Bird
68,Cat
69,Dog
70,Foal
71,Bird
72,Dog
73,Flamingo
74,Dog
75,Dog
76,Plant
77,Cattle
78,Bonsai
79,Plant
80,Plant
81,Dog
82,Person
83,Cat
84,Bird
85,Cat
86,Equestrian
87,Person
88,Dog
89,Dog
90,Cat
91,Cat
92,Plant
93,Bird
94,Cat
95,Dog
96,Sheep
97,Dog
98,Dog
99,Portrait
100,Stunt
101,Dog
102,Cat
103,Cat
104,Cat
105,Cat
106,Horse
107,Cow
108,Cattle
109,Dog
110,Animal
111,Cat
112,Dog
113,Cat
114,Person
115,Dog
116,Cat
117,Cat
118,Cat
119,Cat
120,Dog
121,Cat
122,Person
123,Cat
124,Dog
125,Penguin
126,Bird
127,Cat
128,Man
129,Seedling
130,Person
131,Cow
132,Dog
133,Cat
134,Bird
135,Cat
136,Cat
137,Dog
138,Person
139,Cat
140,Horse
141,Person
142,Dog
143,Bird
144,Person
145,Person
146,Cat
147,Dog
148,Dog
149,Cat
150,Dog
151,Bird
152,Horse
153,Birds
154,Cat
155,Bird
156,Cat
157,Bird
158,Dog
159,Bird
160,Person
161,Cat
162,Dog
163,Cat
164,Bird
165,Person
166,Dog
167,Cat
168,Bird
169,Glamour
170,Dog
171,Cat
172,Dog
173,Plant
174,Baby
175,Bird
176,Cat
177,Person
178,Dog
179,Dog
180,Owl
181,Foal
182,Bird
183,Man
184,People
185,Planter
186,Cat
187,Bird
188,Foal
189,Bird
190,Horse
191,Bird
192,Chicken
193,Flamingo
194,Bird
195,Horse
196,Bird
197,Buffalo
198,Bird
199,Bird
200,Sheep
201,Sports
202,Bird
203,Bird
204,Bird
205,Horse
206,People
207,People
208,Cattle
209,Cow
210,Bird
211,Person
212,Sports
213,Cat
214,Cattle
215,Person
216,Sheep
217,Dog
218,Plant
219,Cat
220,Cat
221,Dog
222,Bird
223,Bird
224,Baby
225,Horse
226,Person
227,Vendor
228,Cat
229,Dog
230,Horse
231,Bird
232,Dog
233,Bird
234,Cat
235,Cactus
236,Horse
237,Dog
238,Portrait
239,Dog
240,Bird
241,Bird
242,Dog
243,Cat
244,Cat
245,Sheep
246,Sheep
247,Cat
248,Bird
249,Person
250,Person
251,Girl
252,Horses
253,Dog
254,Dog
255,Sports
256,Cattle
257,Dog
258,Cat
259,Horse
260,Dog
261,Child
262,Cat
263,Person
264,Dog
265,Cat
266,Horse
267,Baby
268,Cattle
269,Dog
270,Dog
271,Dog
272,Bird
273,Bird
274,Cattle
275,Cat
276,Agriculture
277,Eagle
278,Dog
279,Dog
280,Cat
281,Cooking
282,Lamb
283,Bird
284,Cat
285,Cat
286,Ballet
287,Dog
288,Cattle
289,Sheep
290,Bird
291,Person
292,Bird
293,Owl
294,Dog
295,Horse
296,Bird
297,Dog
298,Horse
299,Cat
300,Person
301,Cow
302,Bird
303,Cow
304,Lamb
305,Horse
306,Sheep
307,Cat
308,Bird
309,Dog
310,Dog
311,Lamb
312,Bird
313,Dog
314,Cow
315,Dog
316,Dog
317,Cat
318,Dog
319,Bird
320,Child
321,Bird
322,Cat
323,Sheep
324,Sheep
325,Bird
326,Dog
327,Bird
328,Person
329,Dog
330,Sports
331,Horse
332,Cat
333,Lamb
334,Dog
335,Houseplant
336,Plant
337,Cattle
338,Cat
339,Dog
340,Bird
341,Person
342,Plant
343,Bird
344,Plant
345,Cat
346,Horse
347,Puppy
348,Sheep
349,Dog
350,Dog
351,Lamb
352,Cattle
353,Horse
354,Dog
355,Cat
356,Family
357,Dog
358,Bird
359,Cat
360,Bird
361,Plant
362,Sheep
363,Woman
364,Bird
365,Bird
366,Cow
367,Cat
368,Dog
369,Dog
370,Horse
371,Equestrian
372,Bird
373,Bird
374,Bird
375,Bird
376,Horse
377,Dog
378,Animals
379,Cat
380,Cattle
381,Horse
382,Bird
383,Portrait
384,Interaction
385,Person
386,Duck
387,Dog
388,Man
389,Dog
390,Party
391,Sports
392,Lingerie
393,Plant
394,Person
395,Horse
396,Dog
397,Dog
398,Cats
399,Horse
400,Dogs
401,Animal
402,Cattle
403,Horse
404,Cattle
405,Dog
406,Dog
407,Sculpture
408,Dog
409,Plant
410,Dog
411,Cat
412,Motorcycle
413,Cow
414,Dog
415,Woman
416,Bird
417,Butterfly
418,Dog
419,Dog
420,Bird
421,Horse
422,Person
423,Person
424,Person
425,Racing
426,Plant
427,Dog
428,Owl
429,Child
430,Cat
431,Person
432,Bird
433,Bird
434,Cat
435,Cat
436,Cow
437,Cat
438,Bird
439,Lamb
440,Dog
441,Plant
442,Horse
443,Dog
444,Eagle
445,Cat
446,Horse
447,Police
448,Police
449,Police
450,Cat
451,Dog
452,Plant
453,Plant
454,Cat
455,Horse
456,Cattle
457,Bird
458,Portrait
459,Dog
460,Cat
461,Dog
462,Dog
463,Bird
464,Dog
465,Cow
466,Dog
467,Dog
468,Beach
469,Dog
470,Sheep
471,Sports
472,Livestock
473,Bird
474,Horse
475,Cat
476,Bird
477,Dog
478,Child
479,Bird
480,Cow
481,Dog
482,Dog
483,Woman
484,Cattle
485,Horse
486,Horse
487,Sheep
488,Horse
489,Foal
490,Portrait
491,Bird
492,Sheep
493,Dog
494,Cow
495,Equestrianism
496,Bird
497,Cat
498,Child
499,Plant
500,Owl
